setting,percentage
login_work_mins_increment,6.02
logout_work_mins_increment,5.35
login_work_mins_increment_aggressive,1.34
logout_work_mins_increment_aggressive,2.34
round_logouts_to_rosters,2.34
round_logins_to_rosters,1.67
breaks_enabled,3.68
min_action_interval,0.67
automatic_break_length,3.68
minimum_shift_length_for_auto_breaks,6.02
append_automatic_breaks,0.67
default_passcode_length,0.0
maximum_shift_length,5.69
minimum_duration_between_shifts,3.68
copy_rosters,0.0
managers_can_see_costs,6.69
managers_can_share_rosters,2.68
managers_can_update_their_timesheets,3.68
leave_request_notifications,4.35
cost_leave_on_weekends,3.68
show_weekends,0.67
staff_have_full_timesheet_access,0.33
staff_can_edit_timesheets,3.01
staff_can_see_export_summary,1.34
approve_shifts_created_from_rosters,1.67
enable_flexi_time_zones,0.67
enable_roster_validation,6.35
roster_validation_max_length,4.68
roster_validation_min_gap,2.01
roster_validation_max_shifts_in_day,5.35
roster_validation_max_shifts_in_week,4.68
roster_validation_max_hours_in_week,7.02
roster_validation_min_length,4.35
enable_multi_level_shift_filters,9.03
expected_hours_in_pay_period,9.03
time_clock_cost_centre_mode,0.67
leave_request_default_length,3.34
enable_text_for_roster,2.34
enable_employee_leave,0.0
enable_availability,11.04
unavailability_minimum_days,14.38
input_settings,1.11
